#/**
#  *
#  * German message catalog
#  *
#  * GForge
#  * Copyright 1999-2001 (c) VA Linux Systems
#  * Copyright 2003-2004 (c) Marco Schmidt, Lars Ehrhardt
#  * Copyright 2005 (c) Michael Will
#  * http://gforge.org
#  *
#  * @author Matthias Bauer, Marco Schmidt, Lars Ehrhardt, Michael Will
#  *
#  */
#
# ChangeLog:
#
# 2003-11-07  Marco Schmidt
#	* changed translation
# 2004-02-04  Lars Ehrhardt
#   * merged german.tab with base.tab to allow easier editing
#   * added small bits and pieces
#   * added translation for tracker items (not completed)
#   * convert to UTF-8 with: konwert iso1-utf8 German.tab > German_new.tab
#   * convert to UTF-8 with: konwert html-utf8 German.tab > German_new.tab
# 2004-02-06  Lars Ehrhardt
#   * continued with translation -> did some parts of task manager
# 2004-11-04  Tobias Rötschke  <gforge@roetschke.com>
#   * fixed files/forum tab and some corrections
# 2005-01-13  Tobias Rötschke  <gforge@roetschke.com>
#   * corrected submit_new and depend_info
# 2005-11-04	Michael Will <Michael.Will@edag.de>
#   * added more translations (check cvs diff)
artifact_canned	required_fields	ArtifactCanned: Name und Bevollmächtigter werden benötigt
group	short_admin	Administrator
group	short_bugs	Programmfehler (Bug)
group	short_docman	Dokumentation
group	short_files	Dateien
group	short_forum	Foren
group	short_homepage	Homepage
group	short_mail	Mailinglisten
group	short_memberlist	Entwickler
group	short_news	Neuigkeiten
group	short_patch	Patches
group	short_pm	Aufträge
group	short_scm	SCM
group	short_summary	Überblick
group	short_support	Support
group	short_survey	Umfragen
group	short_tracker	Tracker
help	page_information	Seiteninformation
help	title	Willkommen auf $1
help_tracker	assignee	Diese Drop-Down-Box representiert den Projekt-Administrator, zu welchem ein Tracker-Element zugeordnet ist.
help_tracker	attach_file	Wenn Sie einen Anhang an ein Tracker-Element hängen wollen, müssen sie diese Box markieren, bevor sie Änderungen bestätigen.
help_tracker	canned_response	Die vorgespeicherte Antwort representiert eine Liste von Projekt-Administratoren-definierten vorgespeicherten Antworten auf gängige Support oder Programmfehler Meldungen.<br /><br /> Wenn Sie ein Projektadministrator sind, können Sie auf den '(admin)' Link klicken, um Ihre eigenen vorgespeicherten Antworten zu definieren.
help_tracker	close_window	Fenster schließen
help_tracker	data_type	Die Datentyp-Option entscheidet, was es für ein Tracker-Element ist.  Da der Tracker zwichen Bug, Patch, Support, etc unterscheidet, sollten Manager fähig sein zu entscheiden, zu welche von diesen das Element gehören soll.<br /><br />Dies hat den Vorteil, daß ein Administrator bevollmächtigt wird, eine Support-Anfrage in einen Bug umzuwandeln.
help_tracker	monitor	Sie können dieses Element beobachten oder nicht-beobachten, indem Sie den "Monitor" Knopf drücken. <br /><br /><strong>Bemerkung!</strong> das wird Ihnen zusätzliche Emails senden. Wenn Sie Kommentare zu diesem Element hinzufügen, bestätigen, oder diesem Element Kommentare zugeordnet sind, werden Sie aus diesen Gründen auch Emails bekommen!
help_tracker	priority	Die Prioritätsoption erlaubt einem Benutzer eine Priortiät für ein Tracker-Element zu definieren (von 1-niedrigste bis 5-höchste).<br /><br />Dies ist besonders hilfreich bei Bugs und Support-Bitten, wo ein Benutzer ein kritisches Problem in einem Projekt finden kann.
help_tracker	sort_by	Die Sortieroption erlaubt Ihnen zu bestimmen, wie die Browse-Ergebnisse sortiert werden.<br /><br />  Sie können nach ID, Priorität, Zusammenfassung, Eröffnungsdatum, Schließdatum, Einsender oder nach dem Verantworlichem sortieren.  Sie können die Ergebnisse auch nach aufsteigender- oder absteigender Reihenfolge sortieren.
help_tracker	status	Diese Drop-Down-Box representiert den aktuellen Status eines Tracker-Elementes.<br /><br />Sie können den Status auf "Schwebend" setzen, wenn Sie auf eine Antwort des Tracker-Element-Autors warten möchten.  Wenn der Autor antwortet, wird der Status automatisch wieder auf "Offen" gesetzt. Andernfalls, wenn der Autor nicht in der vom Administrator vorgegebenen Zeit antwortet (vorgegeben sind 14 Tage), dann wechselt der Status zu 'Gelöscht'.
help_tracker	summary	Das Zusammenfassungs-Textfeld representiert eine kurze Tracker-Item Zusammenfassung. Nützlich wenn man durch verschiedene Tracker-Items browst.
help_tracker	unknown_help_request	Unbekannte Hilfe Anfrage:
help_trove_cat	description	Beschreibung
help_trove_cat	full_category_name	Vollständiger Kategoriename
help_trove_cat	no_such_category	Keine solche Fundkategorie
help_trove_cat	short_name	Kurzname
home	about_blurb	  	GForge ist ein <b>freier Dienst</b> für <a href="http://www.opensource.org">Open Source</a> Entwickler und bietet einfachen Zugang zu dem Besten aus CVS, Mailinglisten, Bug-Tracking, Diskussionsforen, Auftragsverwaltung, Webhosting, dauerhafte Dateiarchivierung, Backups und vollständige Verwaltung per Web-Interface.  <br>   <p> <b>Feedback und Teilnahme an der Seite</b> <p> Um GForge bestmöglich zu nutzen, sollten Sie sich <a href="/account/register.php">als Benutzer anmelden</a>. Mit einem Benutzeraccount können Sie am vollen Spektrum der Webseite teilhaben. Natürlich können Sie GForge auch ohne Registrierung nutzen, haben dann allerdings nicht auf alle Bereiche vollen Zugriff. <p>   <br> <b>Starten Sie Ihr eigenes Projekt</b> <p> <a href="/account/register.php">Melden Sie sich als Benutzer an</a>, <a href="/account/login.php">loggen Sie sich ein</a> und <a href="/register/">registrieren Sie Ihr Projekt</a>! <p> Vielen Dank. Sie machen eine einfache Webseite sehr glücklich.
home	gforge_statistics	GForge Statistiken
home	highest_ranked_users	Am höchsten eingestufte Benutzer
home	hosted_projects	Registrierte Projekte
home	most_active_this_week	Aktivste Projekte in dieser Woche
home	no_stats_available	Keine Statistiken verfügbar
home	recently_registered	Neu registrierte Projekte:
home	recently_registered_date_format	m/y
home	registered_users	Registrierte Benutzer
home	top_project_downloads	Populärste Downloads (nach Projekten)
include_html	no_change	Keine Änderung
include_html	none	Keine
include_html	priority_highest	Hoch
include_html	priority_lowest	Gering
include_toolreport	all	Alle
include_toolreport	for	für
include_toolreport	key	Schlüssel
include_toolreport	last_days	Letzte(r/n) Tag(e)
include_toolreport	last_months	Letzte(r/n) Monat(e)
include_toolreport	last_weeks	Letzte(n) Woche(n)
include_toolreport	last_years	Letzte(s/n) Jahr(e)
include_toolreport	no_data	Keine Daten gefunden
include_toolreport	open	Offen
include_toolreport	project_lifespan	Projekt-Lebensdauer 
include_toolreport	show	Zeige
index	welcome	Willkommen
mail	archives	$1 Archive
mail	choose_a_list	<p>Wählen Sie eine Liste zum Durchsuchen, suchen und um Nachrichten posten.</p>
mail	external_administration	Abonnieren/nicht mehr Abonnieren/Einstellungen
mail	help_to_request	Projektadministratoren benutzen den Admin-Link um eine Mailingliste anzufordern
mail	mailinglists_for	Mailinglisten für $1
mail	no_list_found	Keine Listen für $1 gefunden
mail	provided_by	<p>Mailinglisten angeboten via einer GForge Version der <a href="http://www.list.org">GNU Mailman</a>.  Danke dem Mailman und <a href="http://www.python.org">Python</a> Crews für die exzellente Software.</p>
mail	unable_to_get_lists	Kann die Listen nicht erhalten
mail_admin	add_list	Mailinglisten hinzufügen
mail_admin	admin_in_mailman	Administrieren
mail_admin	error_getting_list	Fehler beim Erhalten der Liste
mail_admin	pagetitle	Administration der Mailingliste 
mail_admin	update_list	Aktualisierung
mail_admin_addlist	existing_mailing_lists	Existierende Mailinglisten
mail_admin_addlist	form_addlist	Diese Liste hinzufügen
mail_admin_addlist	form_description	Beschreibung:
mail_admin_addlist	form_ispublic	Ist öffentlich?
mail_admin_addlist	form_name	Name der Mailingliste :
mail_admin_addlist	list_added	Liste hinzugefügt
mail_admin_addlist	list_information	<p>Die Listen sind auf dieser Weise aufgeführt:<br /><strong>projectname-listname@$1</strong></p><p>Es wird ca<strong><span style="color:red">6-24 Stunden</span></strong> dauern, bis Ihre Liste angelegt ist.</p>
mail_admin_addlist	pagetitle	Eine Mailingliste hinzufügen
mail_admin_updatelist	form_description	Beschreibung:
mail_admin_updatelist	form_ispublic	Ist öffentlich?
mail_admin_updatelist	form_updatelist	Aktualisieren
mail_admin_updatelist	information	Sie können die Listen von hier aus administrieren. Bitte bedenken Sie, dass private Listen immernoch von Mitgliedern Ihres Projektes angeschaut werden können, die aber nicht in $1 aufgelistet sind.
mail_common	creation_mail_body	Eine Mailingliste wird in $1 in 6-24 Stunden angelegt \n und Sie sind der Administrator der Liste.\n\n Diese Liste ist: $3@$2 .\n\n Ihre Mailinglist-Info ist auf:\n$4 .\n\n Listen Administration kann hier gefunden werden:\n$5 .\n\n Ihr Listenpasswort ist: $6 .\n Sie sollten das Passwort so schnell wie möglich ändern.\n\n Vielen Dank, dass Sie Ihr Projekt hier registrieren $1.\n\n-- the $1 staff\n
mail_common	creation_mail_subject	$1 Neue Mailingliste
mail_common	description	Beschreibung
mail_common	error_invalid_name	Ungültiger Listenname
mail_common	error_list_already_exists	Liste existiert schon
mail_common	error_min_name_length	Der Listenname muss 4 oder mehr Zeichen lang sein
mail_common	list_not_activated	Noch nicht aktiviert
mail_common	mailing_list	Mailingliste
mail_common	prefs	Subskription
mail_utils	admin	Administrator
mail_utils	turned_off	Dieses Projekt hat die Mailingliste deaktiviert
menu	account_maintenance	Accountverwaltung
menu	admin	Administrator
menu	bookmark_page	Lesezeichen
menu	code_snippet	Quellcodestücke
menu	diary_notes	Terminkalender &amp; Notizen
menu	home	Home
menu	login	Einloggen (SSL)
menu	logout	Ausloggen
menu	my_account	Mein Account
menu	mypage	Persönliche Seite
menu	my_personal_page	Personalisierte Seite
menu	new_project	Neues Projekt
menu	new_user	Neuer Benutzer (SSL)
menu	project_help_wanted	Projekthilfe gesucht
menu	projectree	Projektbaum
menu	register_project	Registriere Projekt
menu	reporting	Auswertung
menu	search	Suche
menu	submit	Erstellen
my	bookmarks	Meine Lesezeichen
my	monitoredfile	Überwachte Dateimodule
my	monitoredforum	Überwachte Foren
my	no_bookmarks	Sie haben zur Zeit keine Lesezeichen gespeichert.
my	no_monitored_filemodules	Sie überwachen keine Dateien.
my	no_monitored_forums	Sie beobachten keine Foren.
my	no_open_tasks	Sie haben keine offenen Aufträge, die Ihnen zugeordnet sind.
my	no_projects	Sie sind kein Mitglied eines aktiven Projekts.
my	no_tracker_items_assigned	Sie haben keine offenen Tracker-Elemente, die Ihnen zugeordnet sind.
my	no_tracker_items_submitted	Sie haben keine offenen Tracker-Elemente, die von Ihnen übermittelt wurden.
my	projects	Meine Projekte
my	title	persönliche Seite von: $1
my_bookmark	return	Fortfahren
my_bookmark_add	added_bookmark	Lesezeichen für <strong>$1</strong> mit dem Titel <strong>$2</strong> hinzugefügt
my_bookmark_add	back	Zurück zu Ihrer Homepage
my_bookmark_add	bookmark_title	Titel des Lesezeichens
my_bookmark_add	bookmark_url	Lesezeichen URL
my_bookmark_add	section	Meine persönliche Seite
my_bookmark_add	visit_page	Besuche die zum Lesezeichen hinzugefügte Seite
my_bookmark_edit	bookmark_updated	Lesezeichen aktualisiert
my_bookmark_edit	failed_to_update_bookmark	Aktualisierung des Lesezeichens fehlgeschlagen.
my_bookmark_edit	title	Lesezeichen editieren
my_diary	add_new_entry	Einen neuen Eintrag hinzufügen
my_diary	details	Details
my_diary	diary_updated	Tagebuch aktualisiert
my_diary	entry_not_found	Eintrag nicht gefunden oder er gehört Ihnen nicht
my_diary	error_adding_item	Fehler beim Hinzufügen eines Elementes
my_diary	existing_entries	Existierender Terminkalender und Notizeinträge
my_diary	is_public	Ist öffentlich
my_diary	is_public_expl	Wenn als öffentlich markiert, wird Ihr Eintrag an alle beobachtenden Benutzer gemailt, wenn es zuerst freigegeben wird.
my_diary	item_added	Element hinzugefügt
my_diary	no_entries	Sie haben keine Terminkalendereinträge
my_diary	nothing_updated	Nichts aktualisiert
my_diary	submit_only_once	NUR EINMAL ABSCHICKEN
my_diary	summary	Zusammenfassung
my_diary	title	Mein Terminkalender und Notizen
my_diary	update_entry	Einen Eintrag aktualisieren
my_rmproject	title	Projekt verlassen
my_rmproject	operation_not_permitted_text	Da Sie der Projektadministrator sind, können Sie sich nicht selbst aus diesem Projekt entfernen. Sie sollten einen anderen Administrator bitten, Ihre Administrator-Privilegien zurückzusetzen. Falls Sie der einzige Administrator dieses Projekts sind, bedenken Sie bitte eine Verfügbarkeits-Nachricht ans <a href="/people/">Hilfe-gesucht-Brett</a> zu senden und seinen Sie bereit Ihre Admin-Rechte an interessierte Parteien abzugeben.
my_rmproject	operation_not_permitted_title	Operation nicht erlaubt
my_rmproject	quitting_project	Projekt verlassen
my_rmproject	quitting_project_text	Sie sind dabei, sich selbst von einem Projekt zu entfernen. Bitte bestätigen Sie Ihre Aktion:
new	download	Download
new	module	Modul:
new	newer_releases	Neuere Versionen
new	no_new_release_found	Keine neuen Versionen gefunden.
new	notes_changes	Notiz-Änderungen
new	older_releases	Ältere Versionen
new	projects_total	Projekt Total:
new	released_by	Herausgegeben von:
new	this_project_has_not	Für dieses Projekt gibt es keine Beschreibung
new	title	Neue Dateiversionen
new	version	Version:
news	choose	<p>Wählen Sie ein Nachrichten-Element und Sie können es durchsuchen, in ihm suchen und Nachrichten posten</p>
news	noitems	Es wurden keine Elemente gefunden
news	nonews	Keine Neuigkeiten gefunden
news	nonewsfor	Keine Neuigkeiten für $1 gefunden
news	olderheadlines	Ältere Schlagzeilen
news	title	Neuigkeiten
news_admin	approved_newsbytes	Diese Elemente wurden vergangene Woche bewilligt (Total: $1)
news_admin	approve_for_frontpage	Zulassen für die Titelseite
news_admin	date	Datum
news_admin	details	Details
news_admin	do_nothing	Tue nichts
news_admin	newsbytes_to_approve	Diese Elemente müssen bewilligt werden (Total: $1)
news_admin	noapproved	Es wurden keine bewilligten Elemente für diese Woche gefunden
news_admin	noqueued	Es wurden keine Elemente in der Warteschleife gefunden
news_admin	norejected	Es wurden keine abgelehnten Elemente für diese Woche gefunden
news_admin	permdenied	Sie müssen Administrator des Projekts oder ein Mitglied des $1 News Teams sein, um editieren zu können.
news_admin	project	Projekt
news_admin	queued	Diese Nachrichten Elemente wurden zu diesem Projekt freigegeben
news_admin	reject	Ablehnen
news_admin	rejected_newsbytes	Diese Elemente wurden vergangene Woche abgelehnt(Total: $1)
news_admin	reject_selected	ablehnen ausgewählt
news_admin	removal_when_edit	Falls dieses Element auf der $1 Homepage ist und Sie es ändern, wird es von der Homepage entfernt.
news_admin	status	Status
news_admin	status_delete	Löschen
news_admin	status_displayed	Angezeigt
news_admin	subject	Betreff
news_admin	submitted_by	Gepostet von
news_admin	submitted_for_group	Gepostet für Gruppe
news_admin	title	Nachrichten-Admin
news_submit	cannot	Sie können keine Neuigkeiten für ein Projekt posten, wenn Sie nicht Admin dieses Projektes sind.
news_submit	cannotadmin	Nachrichten aus der Nachrichtengruppe abzuschicken ist nicht erlaubt.
news_submit	details	Details
news_submit	errorboth	Fehler - Betreff und Hauptteil (Body) werden benötigt.
news_submit	errorinsert	Fehler beim Einfügen
news_submit	forproject	Für Projekt
news_submit	newsadded	Neuigkeit hinzugefügt
news_submit	post_blurb	Sie können Neuigkeiten über Ihr Projekt posten, wenn Sie Administrator Ihres Projektes sind. Sie können auch "Hilfe gesucht" Nachrichten posten, wenn Ihr Projekt Hilfe benötigt.</p><p>Alle Nachrichten <b>für Ihr Projekt</b> werden sofort auf Ihrer Projekt-Zusammenfassungsseite erscheinen. Posts, die für die Community besondere Bedeutung haben, müssen zuerst von einem Mitglied des $1 News Teams bewilligt werden, bevor sie auf der $1 Homepage erscheinen werden .</p><p>Sie können URLs, aber kein HTML in Ihren Nachricthen verwenden.</p><p>URLs, die mit http:// starten, werden anklickbar gemacht.
news_submit	subject	Betreff
news_utils	archive	News-Archiv
news_utils	comment_1	Kommentar
news_utils	comment_2	Kommentare
news_utils	nonews	Keine Nachrichten gefunden
news_utils	readmore	Weiterlesen/Kommentieren
news_utils	submit	Neuigkeiten posten
people	about_blurb	<p>Das $1 Projekthilfe-Gesucht Brett ist für nicht-kommerzielle, Freiwillige Projekt Eröffungen. Kommerzieller Gebrauch ist verboten.</p><p>Projekt Auflistungen bleiben 2 Wochen lang live oder bis sie vom Eröffner geschlossen werden. (Projekt Administratoren können immer Neuigkeiten zu geschlossenen Eröffungen schreiben.)</p><p>Durchsuchen Sie das Kategoriemenü, um Projekte zu finden, die nach Hilfe suchen.</p><p>Falls Sie ein Projektadministrator sind, loggen Sie sich ein und schreiben Hilfegesuche mithilfe der Administrationsseite.</p><p>Um neue Jobkateforien vorzuschlagen, schreibe eine Bitte via Support-Manager.</p>
people	action	Aktion
people	added_skill	In den Bestand der Qualifikationen hinzugefügt
people	add_new_skill	Neue Fähigkeit hinzufügen
people	add_skill	Qualifikation hinzufügen
people	category	Kategorie
people	click_job_titles	Klicke Jobtitel für eine detailiertere Beschreibung.
people	date_opened	Datum eröffnet
people	error_inserting	FEHLER beim Einfügen in den Bestand der Qualifikationen
people	error_skill_already	FEHLER - Qualifikation schon in Ihrem Bestand
people	experience	Erfahrung
people	here_is_list_position	Hier ist eine Liste der verfügbaren Positionen für dieses Projekt.
people	invalid_id	Ungültige ID
people	last_posts	Letzten Posts
people	level	Level
people	long_description	Lange Beschreibung
people	more_latest_posts	neuere Posts
people	must_be_loggin	Sie müssen sich erst einloggen
people	must_select_a_skill	Sie müssen eine Qualifikations-ID wählen
people	no_categories_found	Keine Kategorien gefunden
people	none_found	Keine gefunden
people	no_skill_inventory_setup_up	Kein Qualifikationsbestand aufgebaut
people	project	$1 Projekt
people	short_description	Kurzbeschreibung
people	skill	Qualifikation
people	status	Status
people	title	Hilfe-Such-System
people	title_array	Titel
people_createjob	continue	Weiter >>
people_createjob	explains	Starten Sie, indem Sie die Felder unten ausfüllen.Wenn Sie "continue" klicken, wird Ihnen eine Liste von Geschick und Erfahrungslevel gezeigt, die dieser Job vorraussetzt.
people_editjob	error_missing	Fehler - fehlende Informationen
people_editjob	fill_in	Alle benötigten Felder ausfüllen
people_editjob	finished	Fertiggestellt
people_editjob	job_insert_failed	JOB Eingabe fehlgeschlagen
people_editjob	job_insert_ok	JOB erfolgreich eingefügt
people_editjob	job_skill_delete_no	JOB Qualifikation-Löschung fehlgeschlagen
people_editjob	job_skill_delete_no_wrong_id	JOB Qualifikation-Löschung fehlgeschlagen - Falsche Projekt_ID
people_editjob	job_skill_delete_ok	JOB Qualifikationen-Löschung erfolgreich
people_editjob	job_skill_update_no	JOB Qualifikationen-Aktualisierung fehlgeschlagen
people_editjob	job_skill_update_no_wrong_id	JOB Qualifikationen-Aktualisierung fehlgeschlagen - Falsche Projekt_ID
people_editjob	job_skill_update_ok	JOB Qualifikationen-Aktualisierung erfolgreich
people_editjob	job_update_no	JOB Aktualisierung fehlgeschlagen
people_editjob	job_update_no_wrong_id	JOB Aktualisierung fehlgeschlagen - Falsche Projekt_ID
people_editjob	job_update_ok	JOB Aktualisierung erfolgreich
people_editjob	no_such	Kein solches Posting für dieses Projekt
people_editjob	posting_fetch_failed	Post-Abruf fehlgeschlagen
people_editjob	skill_explains	<p>Nun können sie die Liste der Qualifikationen editieren/ändern, die diesem Posting angehängt sind. Entwickler können dann Ihre Qualifikationen mit Ihren Anforderungen vergleichen.</p><p>Alle Postings werden automatisch nach 2 Wochen geschlossen.</p>
people_editjob	title	Job ändern
people_editjob	update_description	Aktualisierungsbeschreibung
people_editprofile	about_to_delete	Sie sind dabei die folgende Qualifikation zu löschen $1
people_editprofile	add_new_skill	Neue Qualifikation hinzufügen
people_editprofile	add_this_skill	Diese Qualifikation hinzufügen
people_editprofile	all_fields_required	Alle Felder werden benötigt!
people_editprofile	are_you_sure	Sind Sie <strong>sicher</strong>, daß Sie fortfahren möchten?
people_editprofile	cancel_skills_update	Aktualisierung der Qualifikationen abgebrochen
people_editprofile	change_required_fields	Ändern Sie die benötigten Felder und drücken "Done" am Fuße der Seite
people_editprofile	confirm_delete	Löschen bestätigen
people_editprofile	confirm_skill_delete	Löschen der Qualifikationen bestätigen
people_editprofile	edit_delete_your_skills	Andern /löschen Ihrer Fähigkeiten
people_editprofile	edit_public_permissions	Öffentliche Berechtigungen ändern
people_editprofile	edit_skills	Fähigkeiten ändern
people_editprofile	edit_your_profile	Ihr Profil ändern
people_editprofile	end_date	Enddatum
people_editprofile	error	Fehler - Info fehlt
people_editprofile	failed_delete_skills	Löschung sämtlicher Qualifikationen fehlgeschlagen
people_editprofile	failed_to_add_skill	Hinzufügen der Qualifikationen fehlgeschlagen
people_editprofile	failed_update_skills	Aktualisierung der Qualifikationen fehlgeschlagen
people_editprofile	fill_all_required_fields	Füllen Sie alle benötigten Felder aus
people_editprofile	following_options	Die folgenden Optionen entscheiden, ob andere Ihre Fähigkeiten sehen können. Falls Sie nicht können, können Sie immer noch Ihre Fähigkeiten eingeben.
people_editprofile	from_skills_database	von der Qualifikationen-Datenbank. Diese Aktion kann nicht rückgängig gemacht werden.
people_editprofile	keywords	Stichwörter
people_editprofile	keywords_max_255_chars	Stichwörter (maximal 255 Zeichen)
people_editprofile	no_skills_selected	Keine Qualifikationen zum ändern ausgewählt.
people_editprofile	no_skills_selected_to_delete	Keine Qualifikationen zum Löschen ausgewählt.
people_editprofile	no_skill_types_in_database	Keine Qualifikationstypen in der Datenbank (skills_data_types Tabelle)
people_editprofile	no_skill_types_in_database_inform	Keine Qualifikationstypen in der Datenbank - informieren Sie Ihren System Administrator
people_editprofile	no_such_user	Kein solcher Benutzer
people_editprofile	profile_title	Titel
people_editprofile	publicly_viewable	Öffentlich sichtbar
people_editprofile	skill_added_ok	Qualifikationen erfolgreich hinzugefügt
people_editprofile	skill_delete_successfully	Qualifikation $1 erfolgreich gelöscht
people_editprofile	skill_deletion_cancelled	Löschen der Qualifikationen abgebrochen
people_editprofile	skills_edit	Qualifikationen ändern
people_editprofile	start_date	Startdatum
people_editprofile	type	Typ
people_editprofile	update_failed	Benutzerupdate fehlgeschlagen
people_editprofile	update_ok	Benutzer erfolgreich aktualisiert
people_editprofile	update_permission	Berechtigungen aktualisiert
people_editprofile	user_fetch_failed	Benutzer-Abruf fehlgeschlagen
people_editprofile	you_can_enter_new_skills	Hier können Sie neue Qualifikationen eingeben, die Sie erlangt haben. Bitte geben Sie das Anfangs- und das Enddatum so exakt wie möglich ein.
people_help_wanted_latest	title	Neueste Posts zu "Hilfe gesucht"
people_viewjob	contact_info	Kontakt Information
people_viewjob	fetch_failed	POSTING Abruf FEHLGESCHLAGEN
people_viewjob	for_project	Für Projekt
people_viewjob	no_such_posting	Kein solches Posting für dieses Projekt
people_viewjob	open_date	Eröffnungsdatum
people_viewjob	posting_id_not_found	Posting ID nicht gefunden
people_viewjob	required_skills	Erforderliche Fähigkeiten
people_viewjob	view_a_job	Einen Job anschauen
people_viewprofile	no_such_user	Kein solcher Benutzer
people_viewprofile	set_private	Dieser Benutzer hat sein/ihr Profil als privat eingestellt
people_viewprofile	skills_profile_for	Qualifikationsprofil für
people_viewprofile	title	Ein Benutzerprofil anschauen
people_viewprofile	user_fetch_failed	Benutzerabruf FEHLGESCHLAGEN
pm	admin	Administrator
pm	assigned_to	Zugewiesen an
pm	cat_any	Jede
pm	category	Kategorie
pm	date_note	Das System wird Ihre Anfangs- und Enddaten ändern, falls Sie versuchen ein Startdatum früher als das Enddatum eines Auftrags anzulegen. 
pm	dependent	Abhägig vom Auftrag
pm	dependent_note	Sie dürfen nur abgeschlossene Aufträge auswählen, bevor dieser Auftrag starten kann.
pm	details	Auftragsdetails
pm	end_date	Enddatum
pm	hours	Geschätzte Stunden
pm	intro	Wählen Sie ein Unterprojekt aus und Sie können Aufträge dafür durchsuchen, ändern und hinzufügen.
pm	noprj	<H1>Keine Unterprojekte gefunden</H1><P><B>Es wurden keine Unterprojekte eingerichtet oder Sie können sie nicht ansehen.<P><FONT COLOR=RED>Der Admininistrator dieses Projektes muss die Projekte mithilfe der Adminseite einrichten</FONT></B>
pm	no_tasks_found	Keine übereinstimmenden Aufträge gefunden
pm	no_tasks_found_text	Fügen Sie Aufträge hinzu, indem Sie auf den obigen Link klicken
pm	percent_complete	Prozent fertiggestellt
pm	priority	Priorität
pm	start_date	Startdatum
pm	status	Status
pm	status_any	Alle
pm	summary	Zusammenfassung des Auftrags
pm	task_id	Auftrags-ID
pm	tech_any	Alle
pm	title	Projekt/Auftrags-Manager: Unterprojekte und Aufträge
pm	unassigned	Nicht zugewiesen
pm	view_calendar	Zeige Kalender
pm	view_type	Detailansicht
pm	view_type_detail	detailliert
pm	view_type_summary	Zusammenfassung
pm_addtask	task_added_relationship	Tracker Verknüpfung erfolgreich hinzugefügt
pm_addtask	task_created_successfully	Auftrag erfolgreich erstellt
pm_addtask	task_updated_successfully	Auftrag erfolgreich aktualisiert
pm_addtask	title	Füge neuen Auftrag hinzu
pm_admin_projects	add_categories	Kategorie hinzufügen
pm_admin_projects	add_categories_title	Kategorien hinzufügen
pm_admin_projects	add_categories_to	Füge Kategorie hinzu
pm_admin_projects	add_edit_categories	Kategorien hinzufügen/Ändern
pm_admin_projects	add_project	Projekt hinzufügen
pm_admin_projects	add_project_intro	Füge neues Projekt hinzu, welches weitere Aufträge enthalten kann. Dies ist unterschiedlich, als neuen Auftrag zu erstellen.
pm_admin_projects	admin_title	Projekt/Task-Manager Administration
pm_admin_projects	category_inserted	Kategorie eingefügt
pm_admin_projects	category_name	Name der Kategorie
pm_admin_projects	category_note	Kategorien, die Sie einmal hinzufügen, können nicht mehr gelöscht werden
pm_admin_projects	category_note2	Es ist nicht empfehlenswert den Kategorienamen zu ändern, weil andere Dinge davon abhängig sind. Wenn Sie den Kategorienamen ändern, werden alle verwandten Elemente diesen neuen Namen erhalten.</font></strong>
pm_admin_projects	category_updated	Kategorie aktualisiert
pm_admin_projects	change_project_intro	Sie können ein existierendes Projekt ändern, indem Sie diese Form benutzen. Bitte bedenken Sie, dass private Projekte immernoch von Mitgliedern Ihres Projektes angesehen werden können. Die Allgemeinheit kann diese aber nicht sehen.
pm_admin_projects	change_project_title	Ändere Projekt/Auftrags-Manager Status
pm_admin_projects	delete	Löschen
pm_admin_projects	deleted	Erfolgreich gelöscht
pm_admin_projects	delete_info	Das Unterprojekt und all seine Daten dauerhaft löschen.
pm_admin_projects	delete_warning	Sie sind dabei dieses Unterprojekt und all seine Daten dauerhaft und unwiderbringlich zu löschen!
pm_admin_projects	description	Beschreibung
pm_admin_projects	edit_update	Ändere/Aktualisiere Projekt
pm_admin_projects	id	ID
pm_admin_projects	is_public	Ist öffentlich?
pm_admin_projects	modify_category	Ändere Kategorie in
pm_admin_projects	no_categories	Keine Kategorien definiert
pm_admin_projects	no_projects_found	<h2>Keine Projekte gefunden</h2><p>Keine Projekte für diese Gruppe gefunden. Sie können neue Projekte mit dem Link "Projekt hinzufügen" anlegen</p>
pm_admin_projects	project_inserted	Projekt eingefügt
pm_admin_projects	project_name	Neuer Projektname
pm_admin_projects	projects_intro	Neues Projekt zum Projekt/Auftrags-Manager hinzufügen. <strong>Dies ist unterschiedlich, als einen Auftrag zu einem Projekt hinzuzufügen.</strong>
pm_admin_projects	project_title	Titel
pm_admin_projects	really_sure	Ich bin wirklich sicher
pm_admin_projects	send_updates	Schicke alle Änderungen an
pm_admin_projects	sure	ich bin sicher
pm_browsetask	admin_mass_update	<strong>Administrator:</strong> Wenn Sie den Änderungen aller oben ausgewählten Elemente zustimmen wollen, dann benutzen Sie diese Bedienelemente, um die Eigenschaften zu verändern und klicken einmal auf "Mass Update".
pm_browsetask	browse	Durchsuchen
pm_browsetask	check_all	Überprüfe &nbsp;alle
pm_browsetask	clear_all	Leere &nbsp;alles
pm_browsetask	mass_update	Massenupdate
pm_browsetask	next	nächste 50
pm_browsetask	no_change	Keine Änderung
pm_browsetask	overdue_tasks	* markiert überfällige Aufträge
pm_browsetask	previous	vorherige 50
pm_browsetask	title	Aufträge durchsuchen
pm_deletetask	are_you_sure	Sind Sie sicher, daß Sie diesen Auftrag löschen wollen?
